,# hidden,latent dim,t_classif,t_red,acc
0,1.0,5.0,49.707213163375854,36.44064211845398,0.757
1,3.0,5.0,66.9669783115387,41.9176287651062,0.8108
2,13.0,5.0,66.74766564369202,83.14491105079651,0.81
3,1.0,15.0,198.13709354400635,41.8697874546051,0.8281
4,3.0,15.0,276.1265654563904,39.18079471588135,0.8544
5,5.0,15.0,290.1011493206024,82.9314775466919,0.8556
6,11.0,15.0,222.38018679618835,49.29537558555603,0.8507
7,1.0,25.0,301.6455569267273,41.8550283908844,0.8414
8,3.0,25.0,356.9031126499176,39.10627007484436,0.857
9,5.0,25.0,360.9887046813965,41.93709850311279,0.8596
10,9.0,25.0,284.4407238960266,46.09995412826538,0.8546
11,1.0,50.0,421.4360103607178,37.06363320350647,0.8491
12,3.0,50.0,427.9728956222534,39.63345718383789,0.8589
13,5.0,50.0,419.28290605545044,42.073036670684814,0.8618
14,7.0,50.0,386.84771943092346,82.96197485923767,0.8593
15,1.0,75.0,503.24808979034424,41.83872747421265,0.8517
16,3.0,75.0,485.55836367607117,38.77201056480408,0.859
17,5.0,75.0,500.4299736022949,42.324846029281616,0.8615
18,9.0,75.0,380.88460087776184,47.42970871925354,0.8577
19,1.0,100.0,521.4829261302948,37.08116912841797,0.8512
20,3.0,100.0,495.57687735557556,39.063481092453,0.8547
21,5.0,100.0,491.39494276046753,41.95864009857178,0.8599
